Simulation,Total Floors,Capacity,Total Requests,TTSW
1,10,5,30,406
2,3,5,30,150
3,5,5,30,269
4,11,5,30,664
5,19,5,30,1017
6,10,5,30,470
7,15,5,30,939
8,8,5,30,503
9,15,5,30,756
10,19,5,30,1081
11,8,5,30,475
12,16,5,30,716
13,3,5,30,145
14,20,5,30,1004
15,20,5,30,924
16,16,5,30,881
17,11,5,30,572
18,6,5,30,404
19,6,5,30,257
20,18,5,30,823
21,8,5,30,451
22,10,5,30,485
23,17,5,30,636
24,11,5,30,573
25,10,5,30,597
26,16,5,30,781
27,9,5,30,480
28,19,5,30,1166
29,7,5,30,450
30,3,5,30,123
31,17,5,30,1082
32,20,5,30,939
33,15,5,30,710
34,13,5,30,686
35,16,5,30,729
36,14,5,30,763
37,7,5,30,315
38,3,5,30,130
39,4,5,30,155
40,6,5,30,293
41,5,5,30,256
42,8,5,30,502
43,13,5,30,600
44,12,5,30,857
45,19,5,30,1340
46,12,5,30,631
47,19,5,30,983
48,7,5,30,467
49,11,5,30,569
50,15,5,30,896
