Simulation,Total Floors,Capacity,Total Requests,TTSW
1,10,5,39,988
2,10,5,22,262
3,10,5,13,98
4,10,5,19,183
5,10,5,18,183
6,10,5,21,271
7,10,5,14,94
8,10,5,17,206
9,10,5,23,362
10,10,5,32,611
11,10,5,27,374
12,10,5,36,673
13,10,5,38,795
14,10,5,42,976
15,10,5,21,186
16,10,5,44,958
17,10,5,48,1268
18,10,5,24,365
19,10,5,20,318
20,10,5,47,1286
21,10,5,10,61
22,10,5,50,1585
23,10,5,39,839
24,10,5,11,73
25,10,5,12,72
26,10,5,12,71
27,10,5,23,387
28,10,5,49,1516
29,10,5,33,491
30,10,5,39,1087
31,10,5,47,1287
32,10,5,28,408
33,10,5,40,743
34,10,5,26,399
35,10,5,14,120
36,10,5,47,1230
37,10,5,32,577
38,10,5,20,249
39,10,5,50,1670
40,10,5,23,244
41,10,5,13,133
42,10,5,44,821
43,10,5,32,559
44,10,5,23,254
45,10,5,42,1092
46,10,5,30,500
47,10,5,44,1286
48,10,5,37,860
49,10,5,13,167
50,10,5,41,1155
